Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2020,3,West,Conventional ,French,1190537
2020,3,West,Discretionary & On-Demand,French,1224066
2020,3,West,Discretionary & On-Demand,English,1181816306
2020,3,West,Non-Canadian & Other,English,373363325
2020,4,Atlantic,Conventional ,French,4607550
2020,4,Atlantic,Conventional ,English,188149304
2020,4,Atlantic,Discretionary & On-Demand,English,398554522
2020,4,Atlantic,Discretionary & On-Demand,French,3251528
2020,4,Atlantic,Non-Canadian & Other,English,136875900
2020,4,Central,Conventional ,English,183207991
2020,4,Central,Conventional ,French,48970
2020,4,Central,Discretionary & On-Demand,English,461814161
2020,4,Central,Discretionary & On-Demand,French,25883
2020,4,Central,Non-Canadian & Other,English,118179915
2020,4,Ontario,Conventional ,French,16772139
2020,4,Ontario,Conventional ,English,864488483
2020,4,Ontario,Discretionary & On-Demand,English,2020783166
2020,4,Ontario,Discretionary & On-Demand,French,16957191
2020,4,Ontario,Non-Canadian & Other,English,641695527
2020,4,Quebec,Conventional ,English,99463781
2020,4,Quebec,Conventional ,French,976732243
2020,4,Quebec,Discretionary & On-Demand,French,1140140374
2020,4,Quebec,Discretionary & On-Demand,English,216222900
2020,4,Quebec,Non-Canadian & Other,English,112743059
2020,4,West,Conventional ,English,603226027
2020,4,West,Conventional ,French,1101107
2020,4,West,Discretionary & On-Demand,English,1073737733
2020,4,West,Discretionary & On-Demand,French,1103962
2020,4,West,Non-Canadian & Other,English,329593413
2021,1,Atlantic,Conventional ,English,205351928
2021,1,Atlantic,Conventional ,French,4402105
2021,1,Atlantic,Discretionary & On-Demand,English,429495498
2021,1,Atlantic,Discretionary & On-Demand,French,3103873
2021,1,Atlantic,Non-Canadian & Other,English,157350324
2021,1,Central,Conventional ,English,241681416
2021,1,Central,Conventional ,French,122232
2021,1,Central,Discretionary & On-Demand,English,472496749
2021,1,Central,Discretionary & On-Demand,French,14196
2021,1,Central,Non-Canadian & Other,English,125173663
2021,1,Ontario,Conventional ,English,1044940165
2021,1,Ontario,Conventional ,French,14907032
2021,1,Ontario,Discretionary & On-Demand,French,6751136
2021,1,Ontario,Discretionary & On-Demand,English,2130429543
2021,1,Ontario,Non-Canadian & Other,English,718302446
2021,1,Quebec,Conventional ,English,120891116
2021,1,Quebec,Conventional ,French,1323473484
2021,1,Quebec,Discretionary & On-Demand,English,217254343
2021,1,Quebec,Discretionary & On-Demand,French,1129115821
2021,1,Quebec,Non-Canadian & Other,English,130170847
2021,1,West,Conventional ,English,722622599
2021,1,West,Conventional ,French,1173388
2021,1,West,Discretionary & On-Demand,English,1168483167
2021,1,West,Discretionary & On-Demand,French,2350933
2021,1,West,Non-Canadian & Other,English,355692355
2021,2,Atlantic,Conventional ,English,234086254
2021,2,Atlantic,Conventional ,French,4483078
2021,2,Atlantic,Discretionary & On-Demand,English,502376764
2021,2,Atlantic,Discretionary & On-Demand,French,3070085
2021,2,Atlantic,Non-Canadian & Other,English,141637388
2021,2,Central,Conventional ,English,231572997
2021,2,Central,Conventional ,French,129144
2021,2,Central,Discretionary & On-Demand,English,513418203
2021,2,Central,Discretionary & On-Demand,French,38971
2021,2,Central,Non-Canadian & Other,English,112756278
2021,2,Ontario,Conventional ,French,18091097
2021,2,Ontario,Conventional ,English,1138921087
2021,2,Ontario,Discretionary & On-Demand,French,9677448
2021,2,Ontario,Discretionary & On-Demand,English,2242007526
2021,2,Ontario,Non-Canadian & Other,English,715686074
2021,2,Quebec,Conventional ,French,1419935749
2021,2,Quebec,Conventional ,English,135491871
2021,2,Quebec,Discretionary & On-Demand,English,206165190
2021,2,Quebec,Discretionary & On-Demand,French,1222031078
2021,2,Quebec,Non-Canadian & Other,English,120743336
2021,2,West,Conventional ,English,758432983
2021,2,West,Conventional ,French,757885
2021,2,West,Discretionary & On-Demand,English,1228435676
2021,2,West,Discretionary & On-Demand,French,908326
2021,2,West,Non-Canadian & Other,English,317537159
2021,3,Atlantic,Conventional ,English,247550595
2021,3,Atlantic,Conventional ,French,3366919
2021,3,Atlantic,Discretionary & On-Demand,English,528380195
2021,3,Atlantic,Discretionary & On-Demand,French,3237193
2021,3,Atlantic,Non-Canadian & Other,English,108676779
2021,3,Central,Conventional ,English,220009685
2021,3,Central,Conventional ,French,107006
2021,3,Central,Discretionary & On-Demand,French,13864
2021,3,Central,Discretionary & On-Demand,English,484415749
2021,3,Central,Non-Canadian & Other,English,74912079
2021,3,Ontario,Conventional ,English,1140646837
2021,3,Ontario,Conventional ,French,9210891
2021,3,Ontario,Discretionary & On-Demand,French,8797682
2021,3,Ontario,Discretionary & On-Demand,English,2236924645
2021,3,Ontario,Non-Canadian & Other,English,529624666
2021,3,Quebec,Conventional ,English,135796370
2021,3,Quebec,Conventional ,French,1250865495
2021,3,Quebec,Discretionary & On-Demand,English,205526922
2021,3,Quebec,Discretionary & On-Demand,French,1144011069
2021,3,Quebec,Non-Canadian & Other,English,79889729
2021,3,West,Conventional ,French,442503
2021,3,West,Conventional ,English,736329639
2021,3,West,Discretionary & On-Demand,French,642034
