Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2020,2,Edmonton,Private Commercial,French,10265
2020,2,Edmonton,Private Commercial,English,115445246
2020,2,Montreal,CBC/SRC,English,12212744
2020,2,Montreal,CBC/SRC,French,52173496
2020,2,Montreal,Non-Commercial,French,
2020,2,Montreal,Non-Commercial,English,231194
2020,2,Montreal,Private Commercial,English,121761915
2020,2,Montreal,Private Commercial,French,228141498
2020,2,Toronto,CBC/SRC,French,3158117
2020,2,Toronto,CBC/SRC,English,111830726
2020,2,Toronto,Non-Commercial,French,
2020,2,Toronto,Non-Commercial,English,10418382
2020,2,Toronto,Private Commercial,French,57407
2020,2,Toronto,Private Commercial,English,449152955
2020,2,Vancouver,CBC/SRC,French,1205435
2020,2,Vancouver,CBC/SRC,English,35598174
2020,2,Vancouver,Non-Commercial,French,
2020,2,Vancouver,Non-Commercial,English,11223
2020,2,Vancouver,Private Commercial,French,4490
2020,2,Vancouver,Private Commercial,English,180966806
2020,3,Calgary,CBC/SRC,French,839435
2020,3,Calgary,CBC/SRC,English,16029859
2020,3,Calgary,Non-Commercial,French,
2020,3,Calgary,Non-Commercial,English,44669
2020,3,Calgary,Private Commercial,French,150
2020,3,Calgary,Private Commercial,English,97626283
2020,3,Edmonton,CBC/SRC,French,1210705
2020,3,Edmonton,CBC/SRC,English,13232092
2020,3,Edmonton,Non-Commercial,French,
2020,3,Edmonton,Non-Commercial,English,
2020,3,Edmonton,Private Commercial,French,4601
2020,3,Edmonton,Private Commercial,English,97873578
2020,3,Montreal,CBC/SRC,English,11702835
2020,3,Montreal,CBC/SRC,French,50335894
2020,3,Montreal,Non-Commercial,French,
2020,3,Montreal,Non-Commercial,English,314373
2020,3,Montreal,Private Commercial,English,99994253
2020,3,Montreal,Private Commercial,French,205095626
2020,3,Toronto,CBC/SRC,French,1377956
2020,3,Toronto,CBC/SRC,English,108765644
2020,3,Toronto,Non-Commercial,French,
2020,3,Toronto,Non-Commercial,English,13255573
2020,3,Toronto,Private Commercial,French,158768
2020,3,Toronto,Private Commercial,English,368563510
2020,3,Vancouver,CBC/SRC,French,1156548
2020,3,Vancouver,CBC/SRC,English,35575077
2020,3,Vancouver,Non-Commercial,French,
2020,3,Vancouver,Non-Commercial,English,2787
